Product Name,Category,Supplier,Region,Technology,Efficiency,Power (Wp or kW),Certifications,Warranty,Application Type,Availability,Lead Time,Company Size,Product Link
Longi EV Chargers Model 1000,EV Chargers,Longi,Germany,String,22.07%,399.0,"CE, IEC",12 years,Commercial,In Stock,8+ weeks,SME,https://example.com/product/1
Aiko Battery Storage Model 1001,Battery Storage,Aiko,South Africa,LiFePO4,21.74%,406.0,"CE, ISO",15 years,Off-grid,Pre-order,4–6 weeks,MNC,https://example.com/product/2
Jinko Solar Panels Model 1002,Solar Panels,Jinko,China,TOPCon,18.86%,392.0,"ISO, UL",12 years,Off-grid,Pre-order,2–3 weeks,Startup,https://example.com/product/3
Trina Hybrid Systems Model 1003,Hybrid Systems,Trina,Singapore,TOPCon,20.55%,466.0,"IEC, ISO",25 years,Off-grid,In Stock,4–6 weeks,Startup,https://example.com/product/4
CATL Inverters Model 1004,Inverters,CATL,South Africa,Hybrid,20.43%,553.0,"CE, IEC",20 years,Utility,In Stock,1 week,MNC,https://example.com/product/5
Ampace EV Chargers Model 1005,EV Chargers,Ampace,Netherlands,LiFePO4,19.62%,465.0,"UL, ISO",15 years,Balcony,Limited Stock,4–6 weeks,MNC,https://example.com/product/6
AlphaESS Hybrid Systems Model 1006,Hybrid Systems,AlphaESS,India,TOPCon,19.16%,375.0,"CE, TUV",5 years,Utility,Limited Stock,1 week,SME,https://example.com/product/7
FoxESS Solar Panels Model 1007,Solar Panels,FoxESS,USA,TOPCon,18.71%,553.0,"CE, TUV",20 years,VPP-ready,Pre-order,1 week,SME,https://example.com/product/8
Growatt Hybrid Systems Model 1008,Hybrid Systems,Growatt,Netherlands,PERC,21.29%,680.0,"TUV, IEC",12 years,VPP-ready,Pre-order,2–3 weeks,Startup,https://example.com/product/9
Deye Battery Storage Model 1009,Battery Storage,Deye,Germany,Bifacial,21.8%,485.0,"UL, TUV",10 years,Industrial,Limited Stock,1 week,MNC,https://example.com/product/10
SolarX Solar Panels Model 1010,Solar Panels,SolarX,Germany,PERC,18.62%,522.0,"IEC, UL",15 years,VPP-ready,Pre-order,8+ weeks,SME,https://example.com/product/11
Anker Hybrid Systems Model 1011,Hybrid Systems,Anker,China,LFP,20.82%,653.0,"ISO, UL",25 years,Portable,In Stock,2–3 weeks,SME,https://example.com/product/12
Resun Solar Solar Panels Model 1012,Solar Panels,Resun Solar,China,Hybrid,21.15%,582.0,"TUV, IEC",25 years,Balcony,Limited Stock,1 week,MNC,https://example.com/product/13
Sungrow Hybrid Systems Model 1013,Hybrid Systems,Sungrow,USA,Bifacial,21.35%,671.0,"IEC, ISO",15 years,Residential,Limited Stock,8+ weeks,MNC,https://example.com/product/14
BYD EV Chargers Model 1014,EV Chargers,BYD,UAE,LiFePO4,20.88%,588.0,"CE, ISO",10 years,VPP-ready,Limited Stock,1 week,Startup,https://example.com/product/15
JA Solar EV Chargers Model 1015,EV Chargers,JA Solar,Netherlands,PERC,22.93%,304.0,"ISO, CE",12 years,Commercial,In Stock,2–3 weeks,SME,https://example.com/product/16
Canadian Solar Battery Storage Model 1016,Battery Storage,Canadian Solar,Netherlands,String,21.29%,511.0,"ISO, TUV",5 years,Commercial,Pre-order,1 week,MNC,https://example.com/product/17
GoodWe Hybrid Systems Model 1017,Hybrid Systems,GoodWe,Germany,String,20.51%,412.0,"IEC, CE",10 years,Balcony,Pre-order,1 week,SME,https://example.com/product/18
Seraphim Solar Panels Model 1018,Solar Panels,Seraphim,Singapore,String,21.98%,619.0,"TUV, ISO",10 years,Industrial,Pre-order,1 week,Startup,https://example.com/product/19
Huawei EV Chargers Model 1019,EV Chargers,Huawei,India,TOPCon,19.99%,489.0,"CE, IEC",25 years,Utility,Limited Stock,4–6 weeks,MNC,https://example.com/product/20
Longi Solar Panels Model 1020,Solar Panels,Longi,Singapore,String,21.52%,605.0,"CE, IEC",5 years,Portable,Pre-order,1 week,MNC,https://example.com/product/21
Aiko Inverters Model 1021,Inverters,Aiko,China,TOPCon,22.07%,440.0,"ISO, UL",10 years,Off-grid,Limited Stock,8+ weeks,MNC,https://example.com/product/22
Jinko Battery Storage Model 1022,Battery Storage,Jinko,Australia,Hybrid,18.57%,367.0,"CE, UL",15 years,VPP-ready,Pre-order,4–6 weeks,MNC,https://example.com/product/23
Trina Inverters Model 1023,Inverters,Trina,Australia,PERC,22.6%,498.0,"TUV, CE",20 years,Balcony,Pre-order,4–6 weeks,MNC,https://example.com/product/24
CATL Hybrid Systems Model 1024,Hybrid Systems,CATL,Australia,LiFePO4,22.36%,612.0,"CE, TUV",25 years,Commercial,Pre-order,4–6 weeks,MNC,https://example.com/product/25
Ampace Hybrid Systems Model 1025,Hybrid Systems,Ampace,South Africa,String,20.87%,553.0,"IEC, ISO",15 years,Portable,In Stock,1 week,Startup,https://example.com/product/26
AlphaESS Solar Panels Model 1026,Solar Panels,AlphaESS,Australia,LFP,20.52%,558.0,"ISO, IEC",12 years,Balcony,Limited Stock,1 week,MNC,https://example.com/product/27
FoxESS Solar Panels Model 1027,Solar Panels,FoxESS,Netherlands,PERC,20.18%,609.0,"ISO, IEC",25 years,Utility,Limited Stock,8+ weeks,MNC,https://example.com/product/28
Growatt Battery Storage Model 1028,Battery Storage,Growatt,France,Hybrid,19.76%,370.0,"IEC, UL",12 years,VPP-ready,Limited Stock,8+ weeks,SME,https://example.com/product/29
Deye Hybrid Systems Model 1029,Hybrid Systems,Deye,USA,LiFePO4,18.68%,700.0,"UL, TUV",15 years,Residential,Limited Stock,4–6 weeks,MNC,https://example.com/product/30
SolarX EV Chargers Model 1030,EV Chargers,SolarX,USA,PERC,20.72%,438.0,"IEC, TUV",12 years,Off-grid,Pre-order,8+ weeks,MNC,https://example.com/product/31
Anker EV Chargers Model 1031,EV Chargers,Anker,France,LiFePO4,22.04%,434.0,"CE, ISO",12 years,Commercial,Pre-order,1 week,SME,https://example.com/product/32
Resun Solar Hybrid Systems Model 1032,Hybrid Systems,Resun Solar,Singapore,N-type,20.06%,688.0,"UL, IEC",10 years,Commercial,Limited Stock,2–3 weeks,Startup,https://example.com/product/33
Sungrow Battery Storage Model 1033,Battery Storage,Sungrow,France,PERC,21.41%,557.0,"CE, IEC",20 years,VPP-ready,In Stock,4–6 weeks,SME,https://example.com/product/34
BYD Inverters Model 1034,Inverters,BYD,South Africa,Bifacial,20.68%,565.0,"UL, CE",12 years,Balcony,In Stock,2–3 weeks,Startup,https://example.com/product/35
JA Solar Hybrid Systems Model 1035,Hybrid Systems,JA Solar,China,TOPCon,19.34%,624.0,"ISO, TUV",10 years,Utility,In Stock,1 week,SME,https://example.com/product/36
Canadian Solar Solar Panels Model 1036,Solar Panels,Canadian Solar,South Africa,String,22.78%,553.0,"IEC, CE",12 years,Industrial,In Stock,1 week,MNC,https://example.com/product/37
GoodWe Solar Panels Model 1037,Solar Panels,GoodWe,USA,LiFePO4,18.68%,331.0,"IEC, TUV",25 years,Portable,Limited Stock,4–6 weeks,SME,https://example.com/product/38
Seraphim Inverters Model 1038,Inverters,Seraphim,Germany,LFP,21.35%,472.0,"CE, UL",25 years,Industrial,In Stock,8+ weeks,Startup,https://example.com/product/39
Huawei Inverters Model 1039,Inverters,Huawei,India,Hybrid,21.81%,526.0,"TUV, IEC",12 years,Industrial,In Stock,4–6 weeks,SME,https://example.com/product/40
Longi Solar Panels Model 1040,Solar Panels,Longi,Germany,N-type,20.19%,678.0,"CE, IEC",15 years,Residential,In Stock,4–6 weeks,SME,https://example.com/product/41
Aiko Hybrid Systems Model 1041,Hybrid Systems,Aiko,France,PERC,22.55%,428.0,"UL, IEC",20 years,Utility,In Stock,4–6 weeks,MNC,https://example.com/product/42
Jinko Solar Panels Model 1042,Solar Panels,Jinko,France,N-type,20.26%,492.0,"UL, TUV",5 years,Balcony,Limited Stock,8+ weeks,SME,https://example.com/product/43
Trina Battery Storage Model 1043,Battery Storage,Trina,South Africa,N-type,20.17%,632.0,"ISO, UL",20 years,VPP-ready,In Stock,8+ weeks,Startup,https://example.com/product/44
CATL Inverters Model 1044,Inverters,CATL,Singapore,LFP,22.19%,634.0,"IEC, TUV",25 years,Industrial,Limited Stock,1 week,Startup,https://example.com/product/45
Ampace Battery Storage Model 1045,Battery Storage,Ampace,Singapore,String,21.08%,603.0,"CE, UL",15 years,Balcony,In Stock,4–6 weeks,MNC,https://example.com/product/46
AlphaESS Inverters Model 1046,Inverters,AlphaESS,Germany,TOPCon,20.84%,633.0,"UL, IEC",5 years,Residential,Pre-order,8+ weeks,Startup,https://example.com/product/47
FoxESS Battery Storage Model 1047,Battery Storage,FoxESS,UAE,LiFePO4,18.77%,397.0,"UL, TUV",5 years,Portable,Limited Stock,2–3 weeks,MNC,https://example.com/product/48
Growatt Inverters Model 1048,Inverters,Growatt,South Africa,LiFePO4,20.89%,614.0,"ISO, UL",15 years,Utility,In Stock,1 week,MNC,https://example.com/product/49
Deye Inverters Model 1049,Inverters,Deye,UAE,Bifacial,19.63%,594.0,"ISO, CE",10 years,Commercial,Limited Stock,4–6 weeks,Startup,https://example.com/product/50
CATL Solar Panels Model 1051,Solar Panels,CATL,India,PERC,20.48%,625.0,"CE, TUV",20 years,VPP-ready,In Stock,4–6 weeks,Startup,https://example.com/product/51
FoxESS Hybrid Systems Model 1052,Hybrid Systems,FoxESS,Saudi Arabia,TOPCon,19.81%,675.0,"UL, CE",5 years,Portable,Limited Stock,1 week,SME,https://example.com/product/52
Seraphim EV Chargers Model 1053,EV Chargers,Seraphim,Canada,Bifacial,21.06%,694.0,"CE, ISO",20 years,Portable,In Stock,4–6 weeks,SME,https://example.com/product/53
AlphaESS Hybrid Systems Model 1054,Hybrid Systems,AlphaESS,Australia,TOPCon,21.37%,677.0,"ISO, IEC",20 years,Residential,Pre-order,8+ weeks,Startup,https://example.com/product/54
Longi Inverters Model 1055,Inverters,Longi,USA,LFP,19.63%,559.0,"UL, TUV",15 years,Balcony,Pre-order,8+ weeks,MNC,https://example.com/product/55
JA Solar EV Chargers Model 1056,EV Chargers,JA Solar,India,PERC,20.04%,673.0,"CE, IEC",20 years,Residential,In Stock,4–6 weeks,MNC,https://example.com/product/56
Aiko EV Chargers Model 1057,EV Chargers,Aiko,USA,TOPCon,22.96%,588.0,"IEC, ISO",20 years,Residential,Pre-order,2–3 weeks,SME,https://example.com/product/57
Jinko Hybrid Systems Model 1058,Hybrid Systems,Jinko,Australia,LFP,21.01%,319.0,"IEC, ISO",12 years,Off-grid,Pre-order,8+ weeks,Startup,https://example.com/product/58
