Supplier Name,Energy Type,Region,Country,Contact,Website,Rating (1-5)
Longi,Solar,UAE,South Africa,contact@longi.com,https://www.longi.com,5
Aiko,Storage,South Africa,China,contact@aiko.com,https://www.aiko.com,5
Jinko,Solar,China,Netherlands,contact@jinko.com,https://www.jinko.com,4
Trina,Solar,Netherlands,Germany,contact@trina.com,https://www.trina.com,4
CATL,Solar,UAE,Australia,contact@catl.com,https://www.catl.com,4
Ampace,Storage,USA,Australia,contact@ampace.com,https://www.ampace.com,4
AlphaESS,Storage,India,France,contact@alphaess.com,https://www.alphaess.com,4
FoxESS,Hybrid,UAE,Netherlands,contact@foxess.com,https://www.foxess.com,5
Growatt,Inverter,South Africa,Australia,contact@growatt.com,https://www.growatt.com,4
Deye,Storage,USA,France,contact@deye.com,https://www.deye.com,4
SolarX,EV,France,Australia,contact@solarx.com,https://www.solarx.com,4
Anker,Hybrid,USA,Singapore,contact@anker.com,https://www.anker.com,5
Resun Solar,Inverter,South Africa,Australia,contact@resunsolar.com,https://www.resunsolar.com,5
Sungrow,Storage,UAE,UAE,contact@sungrow.com,https://www.sungrow.com,4
BYD,Solar,France,Germany,contact@byd.com,https://www.byd.com,5
JA Solar,Inverter,Netherlands,India,contact@jasolar.com,https://www.jasolar.com,4
Canadian Solar,EV,UAE,Netherlands,contact@canadiansolar.com,https://www.canadiansolar.com,5
GoodWe,EV,Australia,South Africa,contact@goodwe.com,https://www.goodwe.com,4
Seraphim,EV,UAE,Australia,contact@seraphim.com,https://www.seraphim.com,4
Huawei,Hybrid,Germany,South Africa,contact@huawei.com,https://www.huawei.com,5
