Product Name,Category,Supplier,Region,Technology,Efficiency,Power (Wp or kW),Certifications,Warranty,Application Type,Availability,Lead Time,Company Size,Product Link
Longi EV Chargers Model 1000,EV Chargers,Longi,Germany,String,22.07%,399,"CE, IEC",12 years,Commercial,In Stock,8+ weeks,SME,https://example.com/product/1
Aiko Battery Storage Model 1001,Battery Storage,Aiko,South Africa,LiFePO4,21.74%,406,"CE, ISO",15 years,Off-grid,Pre-order,4–6 weeks,MNC,https://example.com/product/2
Jinko Solar Panels Model 1002,Solar Panels,Jinko,China,TOPCon,18.86%,392,"ISO, UL",12 years,Off-grid,Pre-order,2–3 weeks,Startup,https://example.com/product/3
Trina Hybrid Systems Model 1003,Hybrid Systems,Trina,Singapore,TOPCon,20.55%,466,"IEC, ISO",25 years,Off-grid,In Stock,4–6 weeks,Startup,https://example.com/product/4
CATL Inverters Model 1004,Inverters,CATL,South Africa,Hybrid,20.43%,553,"CE, IEC",20 years,Utility,In Stock,1 week,MNC,https://example.com/product/5
Ampace EV Chargers Model 1005,EV Chargers,Ampace,Netherlands,LiFePO4,19.62%,465,"UL, ISO",15 years,Balcony,Limited Stock,4–6 weeks,MNC,https://example.com/product/6
AlphaESS Hybrid Systems Model 1006,Hybrid Systems,AlphaESS,India,TOPCon,19.16%,375,"CE, TUV",5 years,Utility,Limited Stock,1 week,SME,https://example.com/product/7
FoxESS Solar Panels Model 1007,Solar Panels,FoxESS,USA,TOPCon,18.71%,553,"CE, TUV",20 years,VPP-ready,Pre-order,1 week,SME,https://example.com/product/8
Growatt Hybrid Systems Model 1008,Hybrid Systems,Growatt,Netherlands,PERC,21.29%,680,"TUV, IEC",12 years,VPP-ready,Pre-order,2–3 weeks,Startup,https://example.com/product/9
Deye Battery Storage Model 1009,Battery Storage,Deye,Germany,Bifacial,21.8%,485,"UL, TUV",10 years,Industrial,Limited Stock,1 week,MNC,https://example.com/product/10
SolarX Solar Panels Model 1010,Solar Panels,SolarX,Germany,PERC,18.62%,522,"IEC, UL",15 years,VPP-ready,Pre-order,8+ weeks,SME,https://example.com/product/11
Anker Hybrid Systems Model 1011,Hybrid Systems,Anker,China,LFP,20.82%,653,"ISO, UL",25 years,Portable,In Stock,2–3 weeks,SME,https://example.com/product/12
Resun Solar Solar Panels Model 1012,Solar Panels,Resun Solar,China,Hybrid,21.15%,582,"TUV, IEC",25 years,Balcony,Limited Stock,1 week,MNC,https://example.com/product/13
Sungrow Hybrid Systems Model 1013,Hybrid Systems,Sungrow,USA,Bifacial,21.35%,671,"IEC, ISO",15 years,Residential,Limited Stock,8+ weeks,MNC,https://example.com/product/14
BYD EV Chargers Model 1014,EV Chargers,BYD,UAE,LiFePO4,20.88%,588,"CE, ISO",10 years,VPP-ready,Limited Stock,1 week,Startup,https://example.com/product/15
JA Solar EV Chargers Model 1015,EV Chargers,JA Solar,Netherlands,PERC,22.93%,304,"ISO, CE",12 years,Commercial,In Stock,2–3 weeks,SME,https://example.com/product/16
Canadian Solar Battery Storage Model 1016,Battery Storage,Canadian Solar,Netherlands,String,21.29%,511,"ISO, TUV",5 years,Commercial,Pre-order,1 week,MNC,https://example.com/product/17
GoodWe Hybrid Systems Model 1017,Hybrid Systems,GoodWe,Germany,String,20.51%,412,"IEC, CE",10 years,Balcony,Pre-order,1 week,SME,https://example.com/product/18
Seraphim Solar Panels Model 1018,Solar Panels,Seraphim,Singapore,String,21.98%,619,"TUV, ISO",10 years,Industrial,Pre-order,1 week,Startup,https://example.com/product/19
Huawei EV Chargers Model 1019,EV Chargers,Huawei,India,TOPCon,19.99%,489,"CE, IEC",25 years,Utility,Limited Stock,4–6 weeks,MNC,https://example.com/product/20
Longi Solar Panels Model 1020,Solar Panels,Longi,Singapore,String,21.52%,605,"CE, IEC",5 years,Portable,Pre-order,1 week,MNC,https://example.com/product/21
Aiko Inverters Model 1021,Inverters,Aiko,China,TOPCon,22.07%,440,"ISO, UL",10 years,Off-grid,Limited Stock,8+ weeks,MNC,https://example.com/product/22
Jinko Battery Storage Model 1022,Battery Storage,Jinko,Australia,Hybrid,18.57%,367,"CE, UL",15 years,VPP-ready,Pre-order,4–6 weeks,MNC,https://example.com/product/23
Trina Inverters Model 1023,Inverters,Trina,Australia,PERC,22.6%,498,"TUV, CE",20 years,Balcony,Pre-order,4–6 weeks,MNC,https://example.com/product/24
CATL Hybrid Systems Model 1024,Hybrid Systems,CATL,Australia,LiFePO4,22.36%,612,"CE, TUV",25 years,Commercial,Pre-order,4–6 weeks,MNC,https://example.com/product/25
Ampace Hybrid Systems Model 1025,Hybrid Systems,Ampace,South Africa,String,20.87%,553,"IEC, ISO",15 years,Portable,In Stock,1 week,Startup,https://example.com/product/26
AlphaESS Solar Panels Model 1026,Solar Panels,AlphaESS,Australia,LFP,20.52%,558,"ISO, IEC",12 years,Balcony,Limited Stock,1 week,MNC,https://example.com/product/27
FoxESS Solar Panels Model 1027,Solar Panels,FoxESS,Netherlands,PERC,20.18%,609,"ISO, IEC",25 years,Utility,Limited Stock,8+ weeks,MNC,https://example.com/product/28
Growatt Battery Storage Model 1028,Battery Storage,Growatt,France,Hybrid,19.76%,370,"IEC, UL",12 years,VPP-ready,Limited Stock,8+ weeks,SME,https://example.com/product/29
Deye Hybrid Systems Model 1029,Hybrid Systems,Deye,USA,LiFePO4,18.68%,700,"UL, TUV",15 years,Residential,Limited Stock,4–6 weeks,MNC,https://example.com/product/30
SolarX EV Chargers Model 1030,EV Chargers,SolarX,USA,PERC,20.72%,438,"IEC, TUV",12 years,Off-grid,Pre-order,8+ weeks,MNC,https://example.com/product/31
Anker EV Chargers Model 1031,EV Chargers,Anker,France,LiFePO4,22.04%,434,"CE, ISO",12 years,Commercial,Pre-order,1 week,SME,https://example.com/product/32
Resun Solar Hybrid Systems Model 1032,Hybrid Systems,Resun Solar,Singapore,N-type,20.06%,688,"UL, IEC",10 years,Commercial,Limited Stock,2–3 weeks,Startup,https://example.com/product/33
